38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Jagung Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2024,2024,2024
ACEH,10090.26,51.78,52249.4
SUMATERA UTARA,210586.1,65.24,1373900
SUMATERA BARAT,83918.48,61.76,518315.8
RIAU,327.17,34.83,1139.41
JAMBI,1514.03,69.56,10530.87
SUMATERA SELATAN,53171.15,63.76,338998.6
BENGKULU,9861.27,63.76,62876.83
LAMPUNG,170016.6,65.15,1107739
KEP. BANGKA BELITUNG,0,57.16,0
KEP. RIAU,2.49,48.19,12
DKI JAKARTA,-,-,-
JAWA BARAT,77992.51,72.35,564290.8
JAWA TENGAH,412338.4,58.85,2426509
DI YOGYAKARTA,37546.96,50.44,189378.3
JAWA TIMUR,739157.3,62.18,4595792
BANTEN,2112,60.02,12677.14
BALI,7669.79,50.92,39055.43
NUSA TENGGARA BARAT,173759.8,69.62,1209784
NUSA TENGGARA TIMUR,108816.1,26.93,293052.3
KALIMANTAN BARAT,19449.93,46.49,90419.41
KALIMANTAN TENGAH,8555.57,52.17,44638.26
KALIMANTAN SELATAN,18766.21,58.32,109438.4
KALIMANTAN TIMUR,919.3,43.02,3955.26
KALIMANTAN UTARA,209.95,50.4,1058.24
SULAWESI UTARA,30190.23,37.35,112771.9
SULAWESI TENGAH,19061.15,44.49,84798.45
SULAWESI SELATAN,191012.1,59.24,1131504
SULAWESI TENGGARA,20135,39.46,79444.29
GORONTALO,128230.6,48.82,625972.1
SULAWESI BARAT,6019.31,50.33,30295.93
MALUKU,2239.28,33.86,7582.6
MALUKU UTARA,1316.6,34.41,4530.02
PAPUA BARAT,748.73,49.69,3720.1
PAPUA BARAT DAYA,228.28,52.07,1188.57
PAPUA,990.34,39.52,3913.44
PAPUA SELATAN,408.72,51.34,2098.29
PAPUA TENGAH,1243.9,40.49,5036.04
PAPUA PEGUNUNGAN,48.23,51.23,247.07
INDONESIA,2548654,59.4,15138912
