38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Padi Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2024,2024,2024
ACEH,301196.35,55.11,1659966.28
SUMATERA UTARA,419463.48,52.56,2204875.51
SUMATERA BARAT,295278.98,45.94,1356467.93
RIAU,56421.96,39.36,222055.71
JAMBI,61625.68,45.6,281022.05
SUMATERA SELATAN,521092.21,55.83,2909411.67
BENGKULU,55775.09,48.92,272848.55
LAMPUNG,531715.12,52.5,2791347.53
KEP. BANGKA BELITUNG,18202.56,42.57,77489.79
KEP. RIAU,113.33,26.92,305.09
DKI JAKARTA,498.31,46.29,2306.54
JAWA BARAT,1475362.09,58.47,8626879.91
JAWA TENGAH,1554777.14,57.19,8891297.05
DI YOGYAKARTA,96976.13,46.7,452831.77
JAWA TIMUR,1616985.05,57.33,9270435.29
BANTEN,299090.79,51.84,1550623.46
BALI,103803.93,61.22,635473.35
NUSA TENGGARA BARAT,281717.84,51.59,1453408.37
NUSA TENGGARA TIMUR,168727.24,41.95,707792.54
KALIMANTAN BARAT,247207.72,30.94,764784.15
KALIMANTAN TENGAH,111016.13,32.98,366146.82
KALIMANTAN SELATAN,246112.42,41.83,1029567.93
KALIMANTAN TIMUR,63041.65,39.6,249642.9
KALIMANTAN UTARA,8282.06,36.32,30079.77
SULAWESI UTARA,59121.96,46.2,273134.94
SULAWESI TENGAH,172606.22,44.14,761936.39
SULAWESI SELATAN,951308.6,50.65,4818429.39
SULAWESI TENGGARA,129999.61,42.76,555836.08
GORONTALO,46952.15,50.02,234862.88
SULAWESI BARAT,63181.59,50.47,318876.59
MALUKU,23947.35,38.05,91125.35
MALUKU UTARA,9366.71,33.34,31232.95
PAPUA BARAT,5121.13,40.48,20729.15
PAPUA BARAT DAYA,363.87,27.17,988.64
PAPUA,1068.57,43.14,4609.95
PAPUA SELATAN,47168.57,46.17,217789.62
PAPUA TENGAH,1436.12,42.28,6072.38
PAPUA PEGUNUNGAN,9.66,43.87,42.38
INDONESIA,10046135.36,52.9,53142726.65
